,,Accuracy,Precision,Recall,F1,Feature Extraction Technique
Naïve Bayes,macro,0.7172236503856041,0.4770868288590604,0.4414771272447946,0.4456827656329436,Bag of words based on raw counts
Logistic Regression,macro,0.7493573264781491,0.5314128209762142,0.4534152981614894,0.4698152030437146,Bag of words based on raw counts
Random Forest,macro,0.7275064267352185,0.5192477618881526,0.43193626509623184,0.4495261849361474,Bag of words based on raw counts
SVM,macro,0.7352185089974294,0.8140250337723742,0.41984909587489283,0.433445244553269,Bag of words based on raw counts
Perceptron,macro,0.7287917737789203,0.5211627527723418,0.45398025511807355,0.4723274527514574,Bag of words based on raw counts
Naïve Bayes,micro,0.7172236503856041,0.7172236503856041,0.7172236503856041,0.7172236503856041,Bag of words based on raw counts
Logistic Regression,micro,0.7493573264781491,0.7493573264781491,0.7493573264781491,0.7493573264781492,Bag of words based on raw counts
Random Forest,micro,0.7377892030848329,0.7377892030848329,0.7377892030848329,0.7377892030848329,Bag of words based on raw counts
SVM,micro,0.7352185089974294,0.7352185089974294,0.7352185089974294,0.7352185089974294,Bag of words based on raw counts
Perceptron,micro,0.7287917737789203,0.7287917737789203,0.7287917737789203,0.7287917737789203,Bag of words based on raw counts
Naïve Bayes,macro,0.7365038560411311,0.8387572636458606,0.41523960479199884,0.4178289197141656,Bag of words based on TfIDF
Logistic Regression,macro,0.7544987146529563,0.8169212906607864,0.4451152803156388,0.46071843592606077,Bag of words based on TfIDF
Random Forest,macro,0.7210796915167095,0.5119029192302875,0.41692780771483884,0.431221070063352,Bag of words based on TfIDF
SVM,macro,0.7493573264781491,0.8372119715869717,0.4373982835007352,0.45388603564134195,Bag of words based on TfIDF
Perceptron,macro,0.6889460154241646,0.48366872620159496,0.46098855642287984,0.4678988794764578,Bag of words based on TfIDF
Naïve Bayes,micro,0.7365038560411311,0.7365038560411311,0.7365038560411311,0.7365038560411311,Bag of words based on TfIDF
Logistic Regression,micro,0.7544987146529563,0.7544987146529563,0.7544987146529563,0.7544987146529563,Bag of words based on TfIDF
Random Forest,micro,0.7197943444730077,0.7197943444730077,0.7197943444730077,0.7197943444730077,Bag of words based on TfIDF
SVM,micro,0.7493573264781491,0.7493573264781491,0.7493573264781491,0.7493573264781492,Bag of words based on TfIDF
Perceptron,micro,0.6889460154241646,0.6889460154241646,0.6889460154241646,0.6889460154241646,Bag of words based on TfIDF
Naïve Bayes,macro,0.7390745501285347,0.759536704312115,0.4332751888362566,0.4353281633154275,"ngrams (unigrams, bigrams, trigrams)"
Logistic Regression,macro,0.7429305912596401,0.5311601901564039,0.4401588135224993,0.4558166033640803,"ngrams (unigrams, bigrams, trigrams)"
Random Forest,macro,0.712082262210797,0.7710385278855918,0.4162806531581336,0.43393502553984037,"ngrams (unigrams, bigrams, trigrams)"
SVM,macro,0.6915167095115681,0.8479445015416238,0.3797938901238735,0.3898894672454631,"ngrams (unigrams, bigrams, trigrams)"
Perceptron,macro,0.7287917737789203,0.5109255777445146,0.465705294204366,0.4825633013585856,"ngrams (unigrams, bigrams, trigrams)"
Naïve Bayes,micro,0.7390745501285347,0.7390745501285347,0.7390745501285347,0.7390745501285347,"ngrams (unigrams, bigrams, trigrams)"
Logistic Regression,micro,0.7429305912596401,0.7429305912596401,0.7429305912596401,0.7429305912596401,"ngrams (unigrams, bigrams, trigrams)"
Random Forest,micro,0.7133676092544987,0.7133676092544987,0.7133676092544987,0.7133676092544987,"ngrams (unigrams, bigrams, trigrams)"
SVM,micro,0.6915167095115681,0.6915167095115681,0.6915167095115681,0.6915167095115681,"ngrams (unigrams, bigrams, trigrams)"
Perceptron,micro,0.7287917737789203,0.7287917737789203,0.7287917737789203,0.7287917737789203,"ngrams (unigrams, bigrams, trigrams)"
